"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"QB","Aaron Rodgers",9000,"GB@NO 08:30PM ET",22.009
"QB","Peyton Manning",8900,"SD@Den 08:25PM ET",26.187
"RB","Matt Forte",8800,"Chi@NE 01:00PM ET",25.057
"QB","Andrew Luck",8800,"Ind@Pit 04:25PM ET",28.577
"RB","DeMarco Murray",8600,"Was@Dal 08:30PM ET",26.886
"RB","Arian Foster",8400,"Hou@Ten 01:00PM ET",24.150
"QB","Russell Wilson",8400,"Sea@Car 01:00PM ET",25.340
"QB","Drew Brees",8100,"GB@NO 08:30PM ET",21.290
"QB","Philip Rivers",8000,"SD@Den 08:25PM ET",22.091
"WR","Antonio Brown",8000,"Ind@Pit 04:25PM ET",23.786
"WR","Demaryius Thomas",7900,"SD@Den 08:25PM ET",25.367
"WR","Jordy Nelson",7800,"GB@NO 08:30PM ET",23.314
"WR","Randall Cobb",7500,"GB@NO 08:30PM ET",19.586
"QB","Tony Romo",7400,"Was@Dal 08:30PM ET",18.194
"QB","Tom Brady",7200,"Chi@NE 01:00PM ET",17.057
"RB","Marshawn Lynch",7100,"Sea@Car 01:00PM ET",18.583
"QB","Jay Cutler",7000,"Chi@NE 01:00PM ET",20.620
"WR","Julio Jones",7000,"Det@Atl 09:30AM ET",20.386
"WR","Dez Bryant",6900,"Was@Dal 08:30PM ET",19.143
"WR","T.Y. Hilton",6800,"Ind@Pit 04:25PM ET",19.086
"RB","Jamaal Charles",6700,"StL@KC 01:00PM ET",13.900
"QB","Ryan Tannehill",6700,"Mia@Jax 01:00PM ET",17.820
"QB","Cam Newton",6600,"Sea@Car 01:00PM ET",19.313
"RB","Andre Ellington",6600,"Phi@Ari 04:05PM ET",17.383
"QB","Carson Palmer",6500,"Phi@Ari 04:05PM ET",19.960
"QB","Joe Flacco",6500,"Bal@Cin 01:00PM ET",19.494
"QB","Matthew Stafford",6500,"Det@Atl 09:30AM ET",17.891
"WR","Golden Tate",6500,"Det@Atl 09:30AM ET",19.186
"QB","Matt Ryan",6400,"Det@Atl 09:30AM ET",19.774
"QB","Mike Glennon",6400,"Min@TB 01:00PM ET",18.085
"QB","Kyle Orton",6300,"Buf@NYJ 01:00PM ET",18.500
"WR","Calvin Johnson",6300,"Det@Atl 09:30AM ET",14.360
"QB","Austin Davis",6300,"StL@KC 01:00PM ET",16.547
"QB","Nick Foles",6300,"Phi@Ari 04:05PM ET",18.237
"RB","Le'Veon Bell",6300,"Ind@Pit 04:25PM ET",21.114
"RB","Shane Vereen",6200,"Chi@NE 01:00PM ET",12.200
"TE","Julius Thomas",6200,"SD@Den 08:25PM ET",19.233
"WR","Brandon Marshall",6100,"Chi@NE 01:00PM ET",13.986
"RB","Giovani Bernard",6100,"Bal@Cin 01:00PM ET",17.467
"QB","Alex Smith",6000,"StL@KC 01:00PM ET",15.933
"WR","Alshon Jeffery",6000,"Chi@NE 01:00PM ET",14.843
"RB","Lamar Miller",6000,"Mia@Jax 01:00PM ET",16.267
"RB","Ahmad Bradshaw",5900,"Ind@Pit 04:25PM ET",16.971
"TE","Rob Gronkowski",5900,"Chi@NE 01:00PM ET",14.129
"QB","Kirk Cousins",5900,"Was@Dal 08:30PM ET",17.567
"WR","A.J. Green",5900,"Bal@Cin 01:00PM ET",16.475
"QB","Ben Roethlisberger",5800,"Ind@Pit 04:25PM ET",16.546
"WR","Mike Wallace",5800,"Mia@Jax 01:00PM ET",16.083
"RB","LeSean McCoy",5800,"Phi@Ari 04:05PM ET",12.267
"WR","DeSean Jackson",5700,"Was@Dal 08:30PM ET",15.057
"WR","Emmanuel Sanders",5700,"SD@Den 08:25PM ET",17.683
"QB","Geno Smith",5700,"Buf@NYJ 01:00PM ET",13.786
"WR","Sammy Watkins",5700,"Buf@NYJ 01:00PM ET",15.471
"WR","Steve Smith Sr.",5600,"Bal@Cin 01:00PM ET",19.571
"TE","Antonio Gates",5600,"SD@Den 08:25PM ET",15.043
"TE","Jimmy Graham",5600,"GB@NO 08:30PM ET",15.267
"QB","Colt McCoy",5600,"Was@Dal 08:30PM ET",9.420
"QB","Andy Dalton",5600,"Bal@Cin 01:00PM ET",16.350
"QB","Robert Griffin III",5600,"Was@Dal 08:30PM ET",6.800
"WR","Mohamed Sanu",5600,"Bal@Cin 01:00PM ET",16.820
"TE","Greg Olsen",5500,"Sea@Car 01:00PM ET",17.614
"QB","Jake Locker",5500,"Hou@Ten 01:00PM ET",14.815
"WR","Jeremy Maclin",5500,"Phi@Ari 04:05PM ET",16.417
"QB","Blake Bortles",5500,"Mia@Jax 01:00PM ET",14.764
"RB","Branden Oliver",5400,"SD@Den 08:25PM ET",16.620
"WR","Andre Johnson",5300,"Hou@Ten 01:00PM ET",13.229
"QB","Charlie Whitehurst",5200,"Hou@Ten 01:00PM ET",13.390
"QB","Ryan Fitzpatrick",5200,"Hou@Ten 01:00PM ET",14.200
"WR","Roddy White",5200,"Det@Atl 09:30AM ET",14.050
"QB","Brian Hoyer",5200,"Oak@Cle 04:25PM ET",13.710
"TE","Martellus Bennett",5200,"Chi@NE 01:00PM ET",16.029
"WR","Pierre Garcon",5200,"Was@Dal 08:30PM ET",13.657
"QB","Derek Carr",5200,"Oak@Cle 04:25PM ET",13.593
"RB","Eddie Lacy",5200,"GB@NO 08:30PM ET",12.071
"WR","Vincent Jackson",5100,"Min@TB 01:00PM ET",12.400
"RB","Justin Forsett",5100,"Bal@Cin 01:00PM ET",15.157
