PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Derek Carr, Oak QB  P		WA (Wed)			@Cle	L 13-23		34/54	328	1	0		2	-3	0		0	0	0	1		0	1	0		15
Zach Mettenberger, Ten QB		WA (Wed)			Hou	L 16-30		27/41	299	2	1		1	-1	0		0	0	0	0		0	1	0		15
Shayne Graham, NO K		WA (Wed)			GB	W 44-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		14
Ryan Fitzpatrick, Hou QB		WA (Wed)			@Ten	W 30-16		19/35	227	1	0		4	12	0		0	0	0	0		0	0	0		14
Ahmad Bradshaw*, Ind RB  IR		LIND			@Pit	L 34-51		0/0	0	0	0		6	35	1		7	52	0	7		0	0	0		14
Andrew Hawkins, Cle WR		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		7	88	1	9		0	0	0		14
Mohamed Sanu, Cin WR		BALS			Bal	W 27-24		0/0	0	0	0		2	27	0		5	125	0	9		0	0	0		14
Alfred Morris, Wsh RB		Solo			@Dal	W 20-17		0/0	0	0	0		18	73	1		1	12	0	1		0	0	0		14
Le'Veon Bell, Pit RB		PERO			Ind	W 51-34		0/0	0	0	0		24	92	0		6	56	0	7		0	0	0		14
Allen Robinson*, Jac WR  IR		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		5	82	1	10		0	0	0		14
Juwan Thompson, Den RB  P		WA (Wed)			SD	W 35-21		0/0	0	0	0		7	24	2		0	0	0	1		0	0	0		14
Billy Cundiff, Cle K		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		13
Jason Witten, Dal TE		GREG			Wsh	L 17-20		0/0	0	0	0		0	0	0		5	70	1	8		0	0	0		13
DeSean Jackson, Wsh WR		BALS			@Dal	W 20-17		0/0	0	0	0		0	0	0		6	136	0	7		0	0	0		13
Ryan Tannehill, Mia QB  P		BALS			@Jac	W 27-13		16/29	196	1	1		5	48	0		0	0	0	0		0	0	0		13
Randy Bullock, Hou K		WA (Wed)			@Ten	W 30-16		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		13
Keenan Allen, SD WR		LIND			@Den	L 21-35		0/0	0	0	0		0	0	0		9	73	1	13		0	0	0		13
Theo Riddick, Det RB		WA (Wed)			@Atl	W 22-21		0/0	0	0	0		3	5	0		8	74	1	12		0	0	0		13
Teddy Bridgewater, Min QB		WA (Wed)			@TB	W 19-13		24/42	241	1	0		1	3	0		0	0	0	0		0	0	0		13
Tony Romo, Dal QB  P		CHB			Wsh	L 17-20		17/28	209	1	0		1	1	0		0	0	0	0		0	0	0		12
Steven Jackson, Atl RB  P		NOMS			Det	L 21-22		0/0	0	0	0		18	60	1		0	0	0	0		0	0	0		12
Mason Crosby, GB K		WA (Wed)			@NO	L 23-44		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
