PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Damaris Johnson, Hou WR		WA (Wed)			@Ten	W 30-16		0/0	0	0	0		0	0	0		2	33	0	4		0	0	0		3
Stedman Bailey, StL WR		WA (Wed)			@KC	L 7-34		0/0	0	0	0		0	0	0		2	33	0	3		0	0	0		3
Zac Stacy, StL RB		BALS			@KC	L 7-34		0/0	0	0	0		5	17	0		3	20	0	4		0	0	0		3
Kenbrell Thompkins, Oak WR		WA (Wed)			@Cle	L 13-23		0/0	0	0	0		1	7	0		4	34	0	8		0	0	0		3
Tre Mason, StL RB		BOSS			@KC	L 7-34		0/0	0	0	0		7	32	0		1	1	0	1		0	0	0		3
Ka'Deem Carey, Chi RB		WA (Wed)			@NE	L 23-51		0/0	0	0	0		6	33	0		0	0	0	0		0	0	0		3
Jets D/ST D/ST		WA (Wed)			Buf	L 23-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		3
Dante Rosario, Chi TE		WA (Wed)			@NE	L 23-51		0/0	0	0	0		0	0	0		1	6	0	2		1	0	0		2
Jordy Nelson, GB WR		RUCK			@NO	L 23-44		0/0	0	0	0		0	0	0		3	25	0	5		0	0	0		2
Eddie Royal, SD WR		WA (Wed)			@Den	L 21-35		0/0	0	0	0		0	0	0		3	29	0	3		0	0	0		2
Hakeem Nicks, Ind WR		WA (Wed)			@Pit	L 34-51		0/0	0	0	0		0	0	0		1	27	0	6		0	0	0		2
Jim Dray, Cle TE		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		2	27	0	2		0	0	0		2
Clay Harbor, Jac TE		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		2	27	0	4		0	0	0		2
Daniel Thomas, Mia RB		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		4	18	0		2	12	0	2		0	0	0		2
Anthony Sherman, KC RB		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		1	24	0	1		0	0	0		2
Jeremy Kerley, NYJ WR		WA (Wed)			Buf	L 23-43		0/0	0	0	0		0	0	0		2	25	0	5		0	0	0		2
Niles Paul, Wsh TE		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		0	0	0		3	27	0	3		0	0	0		2
Jacquizz Rodgers, Atl RB		WA (Wed)			Det	L 21-22		0/0	0	0	0		1	2	0		3	28	0	3		0	0	0		2
Julius Thomas, Den TE  Q		RUCK			SD	W 35-21		0/0	0	0	0		0	0	0		2	23	0	5		0	0	0		2
Ricardo Lockette, Sea WR		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		2	22	0	2		0	0	0		2
Matt Asiata*, Min RB  O		CHB			@TB	W 19-13		0/0	0	0	0		4	1	0		4	26	0	5		0	0	0		2
Will Johnson, Pit RB		WA (Wed)			Ind	W 51-34		0/0	0	0	0		0	0	0		2	22	0	2		0	0	0		2
Doug Martin, TB RB  P		WA (Wed)			Min	L 13-19		0/0	0	0	0		10	27	0		2	-1	0	2		0	0	0		2
Griff Whalen, Ind WR		WA (Wed)			@Pit	L 34-51		0/0	0	0	0		0	0	0		2	23	0	3		0	0	0		2
Levine Toilolo, Atl TE		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		2	26	0	2		0	0	0		2
Kyle Juszczyk, Bal RB  P		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		1	21	0	1		0	0	0		2
Benjamin Cunningham, StL RB		WA (Wed)			@KC	L 7-34		0/0	0	0	0		4	27	0		1	8	0	1		0	0	0		2
Crockett Gillmore, Bal TE		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		2	23	0	2		0	0	0		2
Paul Richardson, Sea WR		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		2	20	0	3		0	0	0		2
Terrance West, Cle RB		NOMS			Oak	W 23-13		0/0	0	0	0		7	11	0		1	10	0	2		0	0	0		2
Jarvis Landry, Mia WR  P		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		1	4	0		3	23	0	3		0	0	0		2
Cowboys D/ST D/ST		CHB			Wsh	L 17-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Rams D/ST D/ST		Solo			@KC	L 7-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Vincent Jackson, TB WR		PERO			Min	L 13-19		0/0	0	0	0		0	0	0		1	13	0	5		0	0	0		1
Robbie Gould, Chi K		WA (Wed)			@NE	L 23-51		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		1
Anthony Fasano, KC TE  P		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		4	19	0	4		0	0	0		1
Greg Olsen, Car TE		DC00			Sea	L 9-13		0/0	0	0	0		0	0	0		1	16	0	3		0	0	0		1
Chris Johnson, NYJ RB  P		WA (Wed)			Buf	L 23-43		0/0	0	0	0		3	7	0		2	13	0	2		0	0	0		1
John Carlson, Ari TE		WA (Wed)			Phi	W 24-20		0/0	0	0	0		0	0	0		2	16	0	6		0	0	0		1
Jared Cook, StL TE  Q		BALS			@KC	L 7-34		0/0	0	0	0		0	0	0		1	11	0	3		0	0	0		1
Brian Hartline, Mia WR		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		0	0	0		1	19	0	4		0	0	0		1
Louis Murphy, TB WR		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		2	11	0	2		0	0	0		1
Julian Edelman, NE WR  P		NOMS			Chi	W 51-23		0/0	0	0	0		0	0	0		1	14	0	4		0	0	0		1
Darrel Young, Wsh RB		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		0	0	0		1	12	0	1		0	0	0		1
Toby Gerhart, Jac RB		WA (Wed)			Mia	L 13-27		0/0	0	0	0		4	10	0		1	3	0	1		0	0	0		1
LeGarrette Blount, NE RB		CHB			Chi	W 51-23		0/0	0	0	0		6	21	0		2	11	0	2		0	1	0		1
Andre Roberts, Wsh WR		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		0	0	0		1	11	0	5		0	0	0		1
Ed Dickson, Car TE		WA (Wed)			Sea	L 9-13		0/0	0	0	0		0	0	0		1	13	0	1		0	0	0		1
Andrew Quarless, GB TE		WA (Wed)			@NO	L 23-44		0/0	0	0	0		0	0	0		2	19	0	3		0	0	0		1
Jordan Todman, Jac RB		WA (Wed)			Mia	L 13-27		0/0	0	0	0		2	10	0		2	0	0	2		0	0	0		1
Robert Hughes, Ari RB  P		WA (Wed)			Phi	W 24-20		0/0	0	0	0		0	0	0		2	13	0	2		0	0	0		1
Chris Hogan, Buf WR  P		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		0	0	0		1	14	0	1		0	0	0		1
Kamar Aiken, Bal WR		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		2	15	0	6		0	0	0		1
Chris Polk, Phi RB		WA (Wed)			@Ari	L 20-24		0/0	0	0	0		3	13	0		1	1	0	1		0	0	0		1
Brian Quick*, StL WR  IR		BALS			@KC	L 7-34		0/0	0	0	0		0	0	0		1	10	0	2		0	0	0		1
Jarius Wright, Min WR  P		WA (Wed)			@TB	W 19-13		0/0	0	0	0		0	0	0		2	13	0	3		0	0	0		1
Chris Givens, StL WR		WA (Wed)			@KC	L 7-34		0/0	0	0	0		0	0	0		1	12	0	2		0	0	0		1
Bryce Brown, Buf RB		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		7	15	0		0	0	0	3		0	0	0		1
Cole Beasley, Dal WR		WA (Wed)			Wsh	L 17-20		0/0	0	0	0		0	0	0		1	11	0	2		0	0	0		1
Lance Dunbar, Dal RB		WA (Wed)			Wsh	L 17-20		0/0	0	0	0		1	6	0		1	11	0	2		0	0	0		1
Jermaine Kearse, Sea WR		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		2	15	0	2		0	0	0		1
Cooper Helfet, Sea TE		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		1	11	0	4		0	0	0		1
Tavon Austin, StL WR		WA (Wed)			@KC	L 7-34		0/0	0	0	0		2	7	0		2	12	0	2		0	0	0		1
Christine Michael, Sea RB		WA (Wed)			@Car	W 13-9		0/0	0	0	0		4	12	0		0	0	0	0		0	0	0		1
Charles Johnson, Min WR		WA (Wed)			@TB	W 19-13		0/0	0	0	0		0	0	0		2	18	0	5		0	0	0		1
Kevin Norwood, Sea WR		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		2	13	0	2		0	0	0		1
James White, NE RB		WA (Wed)			Chi	W 51-23		0/0	0	0	0		6	17	0		0	0	0	0		0	0	0		1
De'Anthony Thomas, KC RB		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		4	14	0	5		0	0	0		1
Falcons D/ST D/ST		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		1
Titans D/ST D/ST		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		1
Raiders D/ST D/ST		WA (Wed)			@Cle	L 13-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		1
Buccaneers D/ST D/ST		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		1
Tony Gonzalez, Atl TE		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Jon Kitna, Dal QB		WA (Wed)			Wsh	L 17-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Matt Hasselbeck, Ind QB		WA (Wed)			@Pit	L 34-51		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
David Akers, Det K		WA (Wed)			@Atl	W 22-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Brandon Stokley, Bal WR		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Plaxico Burress, Pit WR		WA (Wed)			Ind	W 51-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Rian Lindell, TB K		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Jay Feely, Ari K		WA (Wed)			Phi	W 24-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Santana Moss, Wsh WR		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Reggie Wayne, Ind WR  P		Solo			@Pit	L 34-51		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Josh McCown, TB QB		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
David Garrard, NYJ QB		WA (Wed)			Buf	L 23-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Shaun Hill, StL QB		WA (Wed)			@KC	L 7-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Rex Grossman, Cle QB		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Willis McGahee, Cle RB		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Dallas Clark, Bal TE		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
