"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"QB","Teddy Bridgewater",5100,"GB@Min 01:00PM ET",12.837
"QB","Matt Hasselbeck",5000,"Jax@Ind 01:00PM ET",0.250
"QB","Jason Campbell",5000,"Cin@Hou 01:00PM ET",0.653
"QB","Charlie Whitehurst",5000,"Ten@Phi 01:00PM ET",13.390
"QB","Tarvaris Jackson",5000,"Ari@Sea 04:05PM ET",0
"QB","Dan Orlovsky",5000,"Det@NE 01:00PM ET",0
"QB","Kellen Clemens",5000,"StL@SD 04:05PM ET",0.200
"QB","Matt Moore",5000,"Mia@Den 04:25PM ET",0.320
"QB","Matt Flynn",5000,"GB@Min 01:00PM ET",-0.060
"TE","Antonio Gates",5000,"StL@SD 04:05PM ET",13.970
"QB","Luke McCown",5000,"Bal@NO 08:30PM ET",0.000
"QB","Chad Henne",5000,"Jax@Ind 01:00PM ET",10.727
"QB","Josh Johnson",5000,"Was@SF 04:25PM ET",0
"QB","T.J. Yates",5000,"Cle@Atl 01:00PM ET",0.780
"QB","Christian Ponder",5000,"GB@Min 01:00PM ET",7.240
"QB","Jake Locker",5000,"Ten@Phi 01:00PM ET",14.815
"WR","Michael Crabtree",5000,"Was@SF 04:25PM ET",11.830
"RB","Fred Jackson",5000,"NYJ@Buf 07:00PM ET",13.238
"QB","Scott Tolzien",5000,"GB@Min 01:00PM ET",0
"QB","Jimmy Clausen",5000,"TB@Chi 01:00PM ET",0.560
"QB","Kellen Moore",5000,"Det@NE 01:00PM ET",0
"RB","Alfred Morris",5000,"Was@SF 04:25PM ET",12.650
"QB","Brandon Weeden",5000,"Dal@NYG 08:30PM ET",4.075
"QB","Tyrod Taylor",5000,"Bal@NO 08:30PM ET",-0.300
"QB","Ryan Lindley",5000,"Ari@Sea 04:05PM ET",0
"QB","Matt Simms",5000,"NYJ@Buf 07:00PM ET",1.760
"QB","EJ Manuel",5000,"NYJ@Buf 07:00PM ET",15.430
"QB","Blaine Gabbert",5000,"Was@SF 04:25PM ET",6.020
"QB","Sean Renfree",5000,"Cle@Atl 01:00PM ET",0
"QB","Mike Glennon",5000,"TB@Chi 01:00PM ET",16.930
"QB","Ryan Nassib",5000,"Dal@NYG 08:30PM ET",0.800
"WR","Mohamed Sanu",5000,"Cin@Hou 01:00PM ET",15.382
"QB","Matt Barkley",5000,"Ten@Phi 01:00PM ET",0.000
"QB","Brock Osweiler",5000,"Mia@Den 04:25PM ET",0.360
"QB","Logan Thomas",5000,"Ari@Sea 04:05PM ET",7.240
"QB","Tom Savage",5000,"Cin@Hou 01:00PM ET",0
"QB","Geno Smith",5000,"NYJ@Buf 07:00PM ET",11.713
"QB","Jimmy Garoppolo",5000,"Det@NE 01:00PM ET",1.745
"QB","Johnny Manziel",5000,"Cle@Atl 01:00PM ET",0.000
"QB","Dustin Vaughan",5000,"Dal@NYG 08:30PM ET",0
"RB","Frank Gore",4900,"Was@SF 04:25PM ET",10.560
"WR","Andrew Hawkins",4900,"Cle@Atl 01:00PM ET",13.433
"WR","Mike Wallace",4900,"Mia@Den 04:25PM ET",13.630
"WR","Kendall Wright",4900,"Ten@Phi 01:00PM ET",11.770
"RB","Trent Richardson",4900,"Jax@Ind 01:00PM ET",10.267
"RB","Joique Bell",4900,"Det@NE 01:00PM ET",11.289
"WR","Keenan Allen",4900,"StL@SD 04:05PM ET",11.770
"RB","Bishop Sankey",4900,"Ten@Phi 01:00PM ET",7.250
"WR","Steve Smith Sr.",4800,"Bal@NO 08:30PM ET",15.680
"WR","Percy Harvin",4700,"NYJ@Buf 07:00PM ET",11.725
"WR","Doug Baldwin",4700,"Ari@Sea 04:05PM ET",10.750
"RB","Bryce Brown",4700,"NYJ@Buf 07:00PM ET",10.200
"RB","Lamar Miller",4700,"Mia@Den 04:25PM ET",13.660
"WR","Malcom Floyd",4600,"StL@SD 04:05PM ET",11.640
"WR","Eric Decker",4600,"NYJ@Buf 07:00PM ET",12.444
"WR","Kenny Britt",4600,"StL@SD 04:05PM ET",9.140
"RB","Ryan Mathews",4600,"StL@SD 04:05PM ET",10.067
"WR","John Brown",4600,"Ari@Sea 04:05PM ET",11.320
"WR","Chris Hogan",4600,"NYJ@Buf 07:00PM ET",6.570
"RB","Darren Sproles",4500,"Ten@Phi 01:00PM ET",12.744
