PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Philip Rivers, SD QB		PERO			StL	W 27-24		29/35	291	1	1		3	-1	0		0	0	0	0		0	0	0		13
Joe Flacco, Bal QB		CHB			@NO	W 34-27		18/24	243	1	0		2	2	0		0	0	0	0		0	0	0		13
Colin Kaepernick, SF QB		PERO			Wsh	W 17-13		20/29	256	1	1		9	14	0		0	0	0	0		0	0	0		13
Charles Johnson, Min WR		WA (Wed)			GB	L 21-24		0/0	0	0	0		0	0	0		3	52	1	11		1	0	0		13
Seahawks D/ST D/ST		LIND			Ari	W 19-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		13
Adam Vinatieri, Ind K		NOMS			Jac	W 23-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Josh McCown, TB QB		WA (Wed)			@Chi	L 13-21		25/48	341	1	2		3	12	0		0	0	0	0		0	1	0		12
Mark Sanchez, Phi QB		LIND			Ten	W 43-24		30/43	307	1	2		4	4	0		0	0	0	0		0	0	0		12
Julio Jones, Atl WR		BOSS			Cle	L 24-26		0/0	0	0	0		0	0	0		5	68	1	13		0	0	0		12
A.J. Green, Cin WR		DC00			@Hou	W 22-13		0/0	0	0	0		0	0	0		12	121	0	16		0	0	0		12
Joseph Morgan, NO WR		WA (Wed)			Bal	L 27-34		0/0	0	0	0		1	67	0		1	62	0	1		0	0	0		12
Cole Beasley, Dal WR		WA (Wed)			@NYG	W 31-28		0/0	0	0	0		0	0	0		2	66	1	2		0	0	0		12
Justin Tucker, Bal K		RUCK			@NO	W 34-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Josh Gordon, Cle WR		LIND			@Atl	W 26-24		0/1	0	0	0		0	0	0		8	120	0	16		0	0	0		12
Keenan Allen, SD WR		LIND			StL	W 27-24		0/0	0	0	0		0	0	0		6	104	1	9		0	2	0		12
Justin Hunter, Ten WR		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		4	64	1	10		0	0	0		12
Rams D/ST D/ST		WA (Wed)			@SD	L 24-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		12
49ers D/ST D/ST		DC00			Wsh	W 17-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Stephen Gostkowski, NE K		RUCK			Det	W 34-9		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		11
Rashad Jennings, NYG RB		CHB			Dal	L 28-31		0/0	0	0	0		19	52	0		8	68	0	10		0	0	0		11
Louis Murphy, TB WR		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		0	0	0		6	113	0	8		0	0	0		11
Anthony Dixon, Buf RB		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		12	54	1		1	8	0	1		0	0	0		11
Andy Dalton, Cin QB		RUCK			@Hou	W 22-13		24/35	233	1	1		7	6	0		0	0	0	0		0	0	0		11
Cardinals D/ST D/ST		Solo			@Sea	L 3-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		11
Steven Jackson, Atl RB		NOMS			Cle	L 24-26		0/0	0	0	0		13	34	1		2	17	0	3		0	0	0		10
Nick Novak, SD K		CHB			StL	W 27-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Fred Jackson, Buf RB  P		DC00			NYJ	W 38-3		0/0	0	0	0		10	32	1		3	13	0	4		0	0	0		10
James Jones, Oak WR		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		5	47	1	6		0	0	0		10
Matt Prater, Det K		WA (Wed)			@NE	L 9-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Dan Carpenter, Buf K  P		BOSS			NYJ	W 38-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Golden Tate, Det WR		DC00			@NE	L 9-34		0/0	0	0	0		1	13	0		4	97	0	11		0	0	0		10
Trent Richardson, Ind RB		NOMS			Jac	W 23-3		0/0	0	0	0		13	42	1		0	0	0	1		0	0	0		10
Mohamed Sanu, Cin WR		BALS			@Hou	W 22-13		0/0	0	0	0		1	1	0		5	48	1	7		0	0	0		10
Mike Evans, TB WR		Solo			@Chi	L 13-21		0/0	0	0	0		0	0	0		3	47	1	11		0	0	0		10
