PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Dion Sims, Mia TE		WA (Wed)			@Den	L 36-39		0/0	0	0	0		0	0	0		4	31	0	5		0	0	0		3
Sammy Watkins, Buf WR  P		BOSS			NYJ	W 38-3		0/0	0	0	0		0	0	0		3	35	0	5		0	0	0		3
Charles Sims, TB RB		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		6	22	0		2	11	0	4		0	0	0		3
Donte Moncrief, Ind WR		WA (Wed)			Jac	W 23-3		0/0	0	0	0		1	4	0		4	38	0	4		0	0	0		3
Juwan Thompson, Den RB		WA (Wed)			Mia	W 39-36		0/0	0	0	0		5	33	0		0	0	0	0		0	0	0		3
Branden Oliver, SD RB		WA (Wed)			StL	W 27-24		0/0	0	0	0		6	17	0		4	23	0	4		0	0	0		3
Robbie Gould, Chi K		WA (Wed)			TB	W 21-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Vernon Davis, SF TE		WA (Wed)			Wsh	W 17-13		0/0	0	0	0		0	0	0		3	21	0	5		0	0	0		2
Darren McFadden, Oak RB		BOSS			KC	W 24-20		0/0	0	0	0		12	29	0		2	5	0	2		0	0	0		2
John Carlson, Ari TE		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		0	0	0		3	25	0	4		0	0	0		2
Gary Barnidge, Cle TE		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		2	23	0	3		0	0	0		2
Donald Brown, SD RB		WA (Wed)			StL	W 27-24		0/0	0	0	0		1	7	0		2	20	0	2		0	0	0		2
Jared Cook, StL TE		BALS			@SD	L 24-27		0/0	0	0	0		0	0	0		3	27	0	9		0	0	0		2
Doug Martin, TB RB  P		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		11	27	0		1	4	0	3		0	0	0		2
Bernard Pierce, Bal RB		GREG			@NO	W 34-27		0/0	0	0	0		7	28	0		1	6	0	1		0	0	0		2
Coby Fleener, Ind TE		DC00			Jac	W 23-3		0/0	0	0	0		0	0	0		2	28	0	4		0	0	0		2
James Hanna, Dal TE		WA (Wed)			@NYG	W 31-28		0/0	0	0	0		0	0	0		1	27	0	1		0	0	0		2
Kendall Wright, Ten WR		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		1	28	0	6		0	0	0		2
Bryce Brown, Buf RB		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		6	20	0		0	0	0	0		0	0	0		2
Rishard Matthews, Mia WR		WA (Wed)			@Den	L 36-39		0/0	0	0	0		0	0	0		2	24	0	3		0	0	0		2
Lance Dunbar, Dal RB		WA (Wed)			@NYG	W 31-28		0/0	0	0	0		0	0	0		1	26	0	1		0	0	0		2
Damaris Johnson, Hou WR		WA (Wed)			Cin	L 13-22		0/0	0	0	0		0	0	0		3	21	0	5		0	0	0		2
Larry Donnell, NYG TE		RUCK			Dal	L 28-31		0/0	0	0	0		0	0	0		2	24	0	4		0	0	0		2
Brice Butler, Oak WR		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		2	21	0	3		0	0	0		2
Benjamin Cunningham, StL RB		WA (Wed)			@SD	L 24-27		0/0	0	0	0		4	18	0		2	11	0	4		0	0	0		2
Luke Willson, Sea TE		WA (Wed)			Ari	W 19-3		0/0	0	0	0		0	0	0		1	21	0	1		0	0	0		2
Josh Hill, NO TE		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		2	22	0	2		0	0	0		2
Jaron Brown, Ari WR		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		0	0	0		3	24	0	6		0	0	0		2
Eric Ebron, Det TE		WA (Wed)			@NE	L 9-34		0/0	0	0	0		0	0	0		2	23	0	7		0	0	0		2
Bishop Sankey, Ten RB  P		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		10	37	0		2	14	0	3		0	1	0		2
Chandler Catanzaro, Ari K		LIND			@Sea	L 3-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Albert Wilson, KC WR		WA (Wed)			@Oak	L 20-24		0/0	0	0	0		0	0	0		2	27	0	2		0	0	0		2
Falcons D/ST D/ST		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Chiefs D/ST D/ST		Solo			@Oak	L 20-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Raiders D/ST D/ST		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Giants D/ST D/ST		CHB			Dal	L 28-31		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		2
Michael Vick, NYJ QB  Q		BOSS			@Buf	L 3-38		7/19/2014	76	0	1		2	4	0		0	0	0	0		0	0	0		1
Reggie Wayne, Ind WR		Solo			Jac	W 23-3		0/0	0	0	0		0	0	0		3	10	0	9		0	0	0		1
Antonio Gates, SD TE		BOSS			StL	W 27-24		0/0	0	0	0		0	0	0		2	14	0	2		0	0	0		1
Frank Gore, SF RB  P		LIND			Wsh	W 17-13		0/0	0	0	0		13	36	0		0	0	0	0		0	1	0		1
Harry Douglas, Atl WR		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		2	14	0	4		0	0	0		1
Hakeem Nicks, Ind WR		WA (Wed)			Jac	W 23-3		0/0	0	0	0		0	0	0		1	16	0	1		0	0	0		1
John Conner, NYJ RB		WA (Wed)			@Buf	L 3-38		0/0	0	0	0		1	13	0		0	0	0	0		0	0	0		1
Preston Parker, NYG WR		WA (Wed)			Dal	L 28-31		0/0	0	0	0		0	0	0		1	16	0	3		0	0	0		1
Lance Kendricks, StL TE		WA (Wed)			@SD	L 24-27		0/0	0	0	0		0	0	0		1	16	0	2		0	0	0		1
Niles Paul, Wsh TE		WA (Wed)			@SF	L 13-17		0/0	0	0	0		0	0	0		1	11	0	2		0	0	0		1
Jordan Todman, Jac RB		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		0	0	0		2	14	0	3		0	0	0		1
Lee Smith, Buf TE		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		0	0	0		1	12	0	1		0	0	0		1
Chris Polk, Phi RB		WA (Wed)			Ten	W 43-24		0/0	0	0	0		7	5	0		1	15	0	1		0	0	0		1
Robert Turbin, Sea RB		WA (Wed)			Ari	W 19-3		0/0	0	0	0		4	12	0		2	3	0	3		0	0	0		1
Rhett Ellison, Min TE		WA (Wed)			GB	L 21-24		0/0	0	0	0		0	0	0		2	11	0	4		0	0	0		1
Jermaine Kearse, Sea WR  Q		WA (Wed)			Ari	W 19-3		0/0	0	0	0		0	0	0		1	19	0	2		0	0	0		1
Travaris Cadet, NO RB  P		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		2	11	0	2		0	0	0		1
Bobby Rainey, TB RB		BALS			@Chi	L 13-21		0/0	0	0	0		1	3	0		4	18	0	6		0	0	0		1
Chase Ford, Min TE		WA (Wed)			GB	L 21-24		0/0	0	0	0		0	0	0		1	13	0	1		0	0	0		1
Cordarrelle Patterson, Min WR		BALS			GB	L 21-24		0/0	0	0	0		0	0	0		2	18	0	2		0	0	0		1
Terrance Williams, Dal WR  Q		RUCK			@NYG	W 31-28		0/0	0	0	0		0	0	0		1	18	0	2		0	0	0		1
Chris Gragg, Buf TE  Q		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		0	0	0		2	11	0	3		0	0	0		1
Levine Toilolo, Atl TE		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		2	17	0	3		0	0	0		1
Stepfan Taylor, Ari RB		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		5	14	0		0	0	0	0		0	0	0		1
Corey Fuller, Det WR		WA (Wed)			@NE	L 9-34		0/0	0	0	0		0	0	0		1	13	0	2		0	0	0		1
Marquess Wilson, Chi WR		WA (Wed)			TB	W 21-13		0/0	0	0	0		0	0	0		1	10	0	3		0	0	0		1
Marlon Brown, Bal WR		WA (Wed)			@NO	W 34-27		0/0	0	0	0		0	0	0		1	14	0	1		0	0	0		1
Austin Seferian-Jenkins, TB TE  Q		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		0	0	0		2	16	0	4		0	0	0		1
Davante Adams, GB WR		WA (Wed)			@Min	W 24-21		0/0	0	0	0		0	0	0		1	10	0	4		0	0	0		1
Kevin Norwood, Sea WR		WA (Wed)			Ari	W 19-3		0/0	0	0	0		0	0	0		1	10	0	2		0	0	0		1
De'Anthony Thomas, KC RB		WA (Wed)			@Oak	L 20-24		0/0	0	0	0		1	9	0		2	15	0	6		0	0	0		1
Allen Hurns, Jac WR		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		0	0	0		1	13	0	4		0	0	0		1
Taylor Gabriel, Cle WR		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		1	13	0	2		0	0	0		1
Tony Gonzalez, Atl TE		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Jon Kitna, Dal QB		WA (Wed)			@NYG	W 31-28		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Matt Hasselbeck, Ind QB		WA (Wed)			Jac	W 23-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
David Akers, Det K		WA (Wed)			@NE	L 9-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Rian Lindell, TB K		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Jay Feely, Ari K		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Santana Moss, Wsh WR		WA (Wed)			@SF	L 13-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Carson Palmer*, Ari QB  IR		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Rex Grossman, Cle QB		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Willis McGahee, Cle RB		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Nate Burleson, Cle WR		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Visanthe Shiancoe, Ten TE		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Seneca Wallace, GB QB		WA (Wed)			@Min	W 24-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Brandon Lloyd, SF WR  P		WA (Wed)			Wsh	W 17-13		0/0	0	0	0		0	0	0		0	0	0	1		0	0	0		0
Kevin Walter, Ten WR		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Kassim Osgood, SF WR		WA (Wed)			Wsh	W 17-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Larry Fitzgerald*, Ari WR  O		RUCK			@Sea	L 3-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
Benjamin Watson, NO TE		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		1	4	0	1		0	0	0		0
Matt Schaub, Oak QB		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		0
